iter	Passed	Remaining
400	12281	18345
401	12309	18310
402	12334	18271
403	12359	18233
404	12387	18198
405	12416	18165
406	12446	18134
407	12477	18104
408	12503	18067
409	12535	18038
410	12572	18017
411	12604	17989
412	12643	17969
413	12677	17943
414	12707	17913
415	12737	17881
416	12767	17849
417	12796	17816
418	12824	17782
419	12851	17747
420	12880	17715
421	12914	17688
422	12948	17661
423	12988	17644
424	13019	17615
425	13043	17575
426	13074	17544
427	13103	17512
428	13140	17490
429	13169	17456
430	13195	17420
431	13226	17389
432	13254	17356
433	13285	17325
434	13316	17296
435	13346	17264
436	13376	17233
437	13408	17204
438	13434	17168
439	13465	17137
440	13496	17108
441	13530	17080
442	13559	17048
443	13587	17014
444	13619	16985
445	13647	16952
446	13681	16926
447	13711	16894
448	13739	16861
449	13768	16828
450	13797	16795
451	13826	16763
452	13857	16733
453	13885	16699
454	13915	16667
455	13945	16636
456	13977	16607
457	14008	16577
458	14037	16545
459	14067	16514
460	14097	16483
461	14132	16456
462	14163	16426
463	14191	16393
464	14221	16362
465	14249	16329
466	14278	16297
467	14303	16259
468	14327	16221
469	14350	16182
470	14377	16148
471	14403	16111
472	14425	16072
473	14451	16037
474	14477	16000
475	14498	15960
476	14524	15924
477	14552	15891
478	14589	15868
479	14622	15840
480	14658	15816
481	14687	15784
482	14723	15759
483	14754	15730
484	14788	15703
485	14820	15674
486	14855	15648
487	14894	15626
488	14923	15595
489	14951	15562
490	14982	15531
491	15018	15506
492	15054	15482
493	15101	15467
494	15144	15450
495	15179	15424
496	15251	15435
497	15279	15402
498	15306	15368
499	15333	15333
500	15360	15299
501	15386	15263
502	15408	15225
503	15437	15192
504	15465	15159
505	15495	15128
506	15531	15102
507	15563	15073
508	15596	15044
509	15626	15013
510	15657	14983
511	15685	14950
512	15711	14915
513	15738	14881
514	15761	14843
515	15795	14816
516	15828	14787
517	15855	14753
518	15883	14720
519	15908	14684
520	15935	14650
521	15965	14619
522	15996	14589
523	16024	14556
524	16058	14529
525	16094	14503
526	16133	14480
527	16171	14456
528	16201	14425
529	16234	14396
530	16263	14364
531	16288	14329
532	16319	14298
533	16349	14267
534	16375	14232
535	16400	14197
536	16428	14164
537	16462	14136
538	16492	14105
539	16518	14071
540	16555	14045
541	16587	14016
542	16615	13983
543	16649	13956
544	16676	13922
545	16701	13886
546	16723	13849
547	16746	13812
548	16767	13774
549	16793	13739
550	16816	13703
551	16838	13666
552	16862	13629
553	16889	13596
554	16921	13567
555	16951	13537
556	16978	13503
557	17015	13478
558	17045	13447
559	17075	13416
560	17106	13386
561	17137	13356
562	17164	13322
563	17187	13286
564	17211	13251
565	17234	13215
566	17258	13179
567	17281	13143
568	17310	13112
569	17339	13080
570	17375	13054
571	17403	13022
572	17431	12990
573	17460	12958
574	17486	12925
575	17519	12896
576	17554	12869
577	17587	12840
578	17624	12815
579	17694	12813
580	17855	12876
581	17893	12851
582	17942	12833
583	17981	12808
584	18014	12779
585	18049	12751
586	18080	12720
587	18111	12690
588	18137	12656
589	18166	12624
590	18194	12591
591	18223	12559
592	18259	12532
593	18287	12499
594	18321	12470
595	18349	12438
596	18381	12408
597	18418	12381
598	18443	12346
599	18470	12313
600	18499	12281
601	18524	12247
602	18551	12213
603	18581	12182
604	18606	12148
605	18634	12115
606	18661	12082
607	18686	12047
608	18712	12013
609	18736	11979
610	18759	11943
611	18782	11907
612	18803	11871
613	18826	11835
614	18849	11799
615	18874	11766
616	18896	11730
617	18917	11693
618	18947	11662
619	18970	11626
620	19000	11596
621	19029	11564
622	19060	11534
623	19087	11501
624	19112	11467
625	19142	11436
626	19181	11410
627	19209	11378
628	19246	11351
629	19288	11327
630	19316	11295
631	19339	11260
632	19364	11227
633	19391	11194
634	19421	11163
635	19449	11131
636	19474	11097
637	19501	11064
638	19526	11031
639	19551	10997
640	19575	10963
641	19601	10930
642	19623	10895
643	19648	10861
644	19670	10826
645	19694	10792
646	19718	10758
647	19740	10723
648	19765	10689
649	19790	10656
650	19814	10622
651	19837	10587
652	19860	10553
653	19884	10520
654	19909	10486
655	19932	10452
656	19960	10420
657	19983	10386
658	20009	10353
659	20034	10320
660	20062	10289
661	20088	10256
662	20112	10223
663	20139	10190
664	20162	10156
665	20188	10124
666	20211	10090
667	20235	10057
668	20256	10022
669	20278	9988
670	20305	9956
671	20332	9924
672	20357	9891
673	20381	9858
674	20405	9824
675	20431	9792
676	20456	9759
677	20485	9729
678	20508	9695
679	20533	9663
680	20556	9629
681	20580	9595
682	20604	9563
683	20633	9532
684	20663	9502
685	20686	9468
686	20709	9435
687	20733	9402
688	20756	9369
689	20781	9336
690	20804	9303
691	20828	9270
692	20852	9237
693	20881	9207
694	20909	9176
695	20933	9143
696	20960	9112
697	20982	9078
698	21007	9046
699	21032	9013
700	21058	8982
701	21082	8949
702	21109	8918
703	21133	8885
704	21160	8854
705	21185	8822
706	21213	8791
707	21240	8760
708	21265	8728
709	21288	8695
710	21311	8662
711	21335	8630
712	21359	8597
713	21387	8567
714	21418	8537
715	21452	8509
716	21486	8480
717	21520	8452
718	21557	8425
719	21602	8400
720	21637	8372
721	21673	8345
722	21710	8317
723	21759	8294
724	21797	8268
725	21831	8239
726	21869	8212
727	21914	8187
728	21953	8161
729	21989	8133
730	22021	8103
731	22066	8079
732	22113	8054
733	22152	8027
734	22185	7998
735	22215	7968
736	22237	7935
737	22260	7902
738	22284	7870
739	22312	7839
740	22343	7809
741	22375	7780
742	22398	7747
743	22426	7716
744	22450	7684
745	22475	7652
746	22501	7620
747	22527	7589
748	22552	7557
749	22577	7525
750	22602	7493
751	22625	7461
752	22653	7430
753	22678	7399
754	22703	7367
755	22726	7334
756	22750	7302
757	22773	7270
758	22797	7238
759	22829	7209
760	22855	7178
761	22882	7147
762	22905	7114
763	22929	7083
764	22952	7050
765	22978	7019
766	23006	6988
767	23030	6957
768	23055	6925
769	23081	6894
770	23104	6862
771	23129	6831
772	23152	6799
773	23176	6767
774	23200	6735
775	23225	6704
776	23249	6672
777	23274	6641
778	23300	6610
779	23326	6579
780	23349	6547
781	23375	6516
782	23398	6484
783	23423	6453
784	23450	6422
785	23472	6390
786	23494	6358
787	23520	6327
788	23544	6296
789	23569	6265
790	23592	6233
791	23617	6202
792	23640	6170
793	23664	6139
794	23687	6108
795	23710	6076
796	23735	6045
797	23762	6015
798	23790	5984
799	23817	5954
800	23840	5923
801	23866	5892
802	23893	5861
803	23921	5831
804	23947	5800
805	23970	5769
806	23994	5738
807	24017	5707
808	24043	5676
809	24069	5645
810	24095	5615
811	24122	5585
812	24149	5554
813	24174	5523
814	24197	5492
815	24222	5462
816	24248	5431
817	24277	5401
818	24304	5371
819	24327	5340
820	24356	5310
821	24383	5280
822	24406	5248
823	24428	5217
824	24454	5187
825	24477	5156
826	24501	5125
827	24526	5094
828	24550	5064
829	24574	5033
830	24598	5002
831	24624	4972
832	24650	4941
833	24674	4911
834	24700	4880
835	24723	4850
836	24746	4819
837	24768	4788
838	24792	4757
839	24817	4727
840	24843	4696
841	24865	4666
842	24888	4635
843	24915	4605
844	24939	4574
845	24963	4544
846	24988	4513
847	25012	4483
848	25036	4452
849	25060	4422
850	25084	4391
851	25110	4361
852	25135	4331
853	25161	4301
854	25186	4271
855	25213	4241
856	25241	4211
857	25264	4181
858	25292	4151
859	25320	4121
860	25347	4092
861	25374	4062
862	25397	4031
863	25422	4001
864	25447	3971
865	25471	3941
866	25496	3911
867	25525	3881
868	25551	3851
869	25573	3821
870	25599	3791
871	25625	3761
872	25651	3731
873	25676	3701
874	25706	3672
875	25732	3642
876	25758	3612
877	25784	3582
878	25806	3552
879	25832	3522
880	25861	3493
881	25889	3463
882	25922	3434
883	25948	3405
884	25971	3374
885	25994	3344
886	26019	3314
887	26051	3285
888	26080	3256
889	26107	3226
890	26133	3196
891	26158	3167
892	26181	3137
893	26204	3107
894	26230	3077
895	26256	3047
896	26280	3017
897	26301	2987
898	26324	2957
899	26347	2927
900	26376	2898
901	26404	2868
902	26426	2838
903	26448	2808
904	26473	2778
905	26496	2749
906	26520	2719
907	26543	2689
908	26568	2659
909	26593	2630
910	26617	2600
911	26639	2570
912	26663	2540
913	26691	2511
914	26719	2482
915	26741	2452
916	26768	2422
917	26794	2393
918	26819	2363
919	26848	2334
920	26872	2305
921	26897	2275
922	26923	2246
923	26951	2216
924	26975	2187
925	27004	2158
926	27027	2128
927	27051	2098
928	27075	2069
929	27098	2039
930	27123	2010
931	27150	1980
932	27179	1951
933	27210	1922
934	27238	1893
935	27264	1864
936	27288	1834
937	27348	1807
938	27420	1781
939	27478	1753
940	27510	1724
941	27561	1696
942	27591	1667
943	27623	1638
944	27651	1609
945	27677	1579
946	27710	1550
947	27739	1521
948	27762	1491
949	27784	1462
950	27807	1432
951	27833	1403
952	27859	1373
953	27886	1344
954	27912	1315
955	27935	1285
956	27957	1256
957	27980	1226
958	28002	1197
959	28031	1167
960	28057	1138
961	28080	1109
962	28103	1079
963	28125	1050
964	28148	1020
965	28170	991
966	28193	962
967	28218	932
968	28246	903
969	28271	874
970	28295	845
971	28317	815
972	28342	786
973	28365	757
974	28388	727
975	28411	698
976	28436	669
977	28459	640
978	28489	611
979	28513	581
980	28539	552
981	28562	523
982	28584	494
983	28608	465
984	28635	436
985	28659	406
986	28686	377
987	28708	348
988	28730	319
989	28753	290
990	28786	261
991	28812	232
992	28835	203
993	28858	174
994	28882	145
995	28904	116
996	28930	87
997	28955	58
998	28979	29
999	29001	0
