iter	Logloss
0	0.6541076951
1	0.6220144542
2	0.5927582501
3	0.5649568788
4	0.5410302931
5	0.5182105146
6	0.4990442284
7	0.482386973
8	0.4686049868
9	0.4561119999
10	0.4464830284
11	0.4352377041
12	0.4246872975
13	0.4144000285
14	0.4058672918
15	0.3991531414
16	0.3929648759
17	0.3877039388
18	0.3832103846
19	0.3781526765
20	0.3737189853
21	0.3698524863
22	0.3669132135
23	0.3638149266
24	0.3613513238
25	0.3578449313
26	0.3558348375
27	0.3542420353
28	0.3519402951
29	0.35008079
30	0.347722842
31	0.3462607723
32	0.3442797216
33	0.3426020945
34	0.3412826565
35	0.3399107066
36	0.3390625566
37	0.3373675247
38	0.336100122
39	0.3345991749
40	0.3337541792
41	0.3327904165
42	0.3315924292
43	0.3306200964
44	0.3294285011
45	0.3284165853
46	0.3274391872
47	0.3265892261
48	0.3258607082
49	0.3251740766
50	0.3244757643
51	0.323664213
52	0.3230631052
53	0.3226118105
54	0.3221084381
55	0.3215458816
56	0.3210617922
57	0.3205110427
58	0.3198301821
59	0.3193420639
60	0.3187821004
61	0.3182717239
62	0.3175939201
63	0.3173212158
64	0.316880062
65	0.3163343363
66	0.3158821325
67	0.3154418963
68	0.3149266065
69	0.3144316899
70	0.3141715035
71	0.3138951581
72	0.3134442832
73	0.3131026986
74	0.3126705063
75	0.3122219761
76	0.3118628356
77	0.3113521891
78	0.3111262605
79	0.3108307459
80	0.3105340789
81	0.3102590909
82	0.3097546074
83	0.3093440818
84	0.3090893845
85	0.3087297586
86	0.3083034646
87	0.3081011704
88	0.3078474954
89	0.3076663158
90	0.3073268232
91	0.306981654
92	0.3066479164
93	0.3063493134
94	0.3061673341
95	0.3059295511
96	0.3057373308
97	0.3054867827
98	0.3053264503
99	0.3050679914
100	0.3048475889
101	0.3046335293
102	0.304347896
103	0.3041815778
104	0.3038575659
105	0.3035647645
106	0.3030721469
107	0.3028086487
108	0.3026566835
109	0.302442699
110	0.3022891244
111	0.3019532795
112	0.3017543448
113	0.3015567203
114	0.3012995226
115	0.3011460693
116	0.3007425771
117	0.3006470669
118	0.3005357698
119	0.3003834672
120	0.2998329911
121	0.2996952628
122	0.2993541665
123	0.2992206828
124	0.2990442439
125	0.2988380581
126	0.2987073031
127	0.2985257224
128	0.2982743424
129	0.2980383412
130	0.2978522224
131	0.2977124477
132	0.2975568914
133	0.2974091863
134	0.2972110609
135	0.2970335132
136	0.2968984277
137	0.2967023044
138	0.2966061078
139	0.2964417444
140	0.2962209758
141	0.2960830704
142	0.2959512337
143	0.2957753668
144	0.2953876864
145	0.2952798728
146	0.2951589022
147	0.2949785437
148	0.294841954
149	0.2946654716
150	0.2945450436
151	0.2944277213
152	0.2943080806
153	0.2941916087
154	0.2940753672
155	0.2939634256
156	0.2938558267
157	0.293723215
158	0.2930917086
159	0.2929316089
160	0.29282955
161	0.2926745426
162	0.2926002979
163	0.2924854714
164	0.2923251479
165	0.2922121447
166	0.2920929977
167	0.2920116749
168	0.2918704043
169	0.2917784191
170	0.2916936114
171	0.2915726042
172	0.2914536405
173	0.2913768599
174	0.2912827683
175	0.2911570713
176	0.291016237
177	0.2909205555
178	0.2908287877
179	0.2907638226
180	0.2906992292
181	0.2904613846
182	0.2903293428
183	0.2901584227
184	0.2900647606
185	0.2899398229
186	0.2898146377
187	0.2897358533
188	0.2896751495
189	0.2895621789
190	0.289522627
191	0.2892311687
192	0.2891702281
193	0.2890783246
